$p_{\mathrm{LA}}^{\min}$,$p_{\mathrm{LA}}^{\max}$,$\left( \frac{p_{\mathrm{LA}}}{dt} \right)^{\min}$,$\left( \frac{p_{\mathrm{LA}}}{dt} \right)^{\max}$,$V_{\mathrm{LA}}^{\min}$,$V_{\mathrm{LA}}^{\max}$,$\left( \frac{V_{\mathrm{LA}}}{dt} \right)^{\min}$,$\left( \frac{V_{\mathrm{LA}}}{dt} \right)^{\max}$,$p_{\mathrm{LV}}^{\min}$,$p_{\mathrm{LV}}^{\max}$,$\left( \frac{p_{\mathrm{LV}}}{dt} \right)^{\min}$,$\left( \frac{p_{\mathrm{LV}}}{dt} \right)^{\max}$,$V_{\mathrm{LV}}^{\min}$,$V_{\mathrm{LV}}^{\max}$,$\left( \frac{V_{\mathrm{LV}}}{dt} \right)^{\min}$,$\left( \frac{V_{\mathrm{LV}}}{dt} \right)^{\max}$,$p_{\mathrm{RA}}^{\min}$,$p_{\mathrm{RA}}^{\max}$,$\left( \frac{p_{\mathrm{RA}}}{dt} \right)^{\min}$,$\left( \frac{p_{\mathrm{RA}}}{dt} \right)^{\max}$,$V_{\mathrm{RA}}^{\min}$,$V_{\mathrm{RA}}^{\max}$,$\left( \frac{V_{\mathrm{RA}}}{dt} \right)^{\min}$,$\left( \frac{V_{\mathrm{RA}}}{dt} \right)^{\max}$,$p_{\mathrm{RV}}^{\min}$,$p_{\mathrm{RV}}^{\max}$,$\left( \frac{p_{\mathrm{RV}}}{dt} \right)^{\min}$,$\left( \frac{p_{\mathrm{RV}}}{dt} \right)^{\max}$,$V_{\mathrm{RV}}^{\min}$,$V_{\mathrm{RV}}^{\max}$,$\left( \frac{V_{\mathrm{RV}}}{dt} \right)^{\min}$,$\left( \frac{V_{\mathrm{RV}}}{dt} \right)^{\max}$
0.004649706134050733,0.006707797780986568,0.005850581947969729,0.008347767242347823,0.0029875677883881755,0.004718178847777074,0.0070930805262797375,0.005807309718199409,0.007576430391238553,0.005892832954438456,0.005443606429971959,0.005117339416899351,0.005957103520667277,0.003294941395115711,0.004319419335618804,0.0072090387519749555,0.004623208343956642,0.006665138088986667,0.004130800784707606,0.008052193683490326,0.004536587346690766,0.003960992245604827,0.00608334528895026,0.005108043217974511,0.008920008687631585,0.0030149092131831505,0.0026146040620831854,0.004773879789929084,0.006398204423636208,0.004443205167067375,0.0054775514444671035,0.006067368904769154
0.002440939252851864,0.004988151073792825,0.0032634071594285397,0.004576189411547992,0.0015224538930383945,0.002141523132858856,0.0035829461345909075,0.003809205105959936,0.004059125421676522,0.0018308455297622616,0.003423304063453035,0.002335366396000548,0.0020612443872375487,0.0005428790043000937,0.0021270686080447692,0.004412645731907231,0.002400260365388662,0.0041699153612002144,0.0022312182584120124,0.004612566579945324,0.0024816168639851936,0.0012114786540647086,0.0026635455010011306,0.0012212726786397022,0.0035373664783738146,0.0017357781500780185,0.002833327590310116,0.0016363772459605998,0.0028021085394497078,0.0020741425398451167,0.0022792790096629787,0.0032568403383319107
0.003956097603103793,0.00722106113590296,0.005707567377087526,0.007880760160758768,0.002871043173660316,0.003713594496567961,0.006087003611337606,0.005949838925569845,0.006405642118145735,0.005069028808273872,0.0044336223942651075,0.0039023871149173146,0.0064499408623162465,0.0017625091871438835,0.0031700048780481677,0.0066245413551734205,0.004144484926462884,0.0068548928856896904,0.004477534924779123,0.008389287984231181,0.00353786777648662,0.002566052296632138,0.004791009552878478,0.0036762120404264017,0.008154229113227754,0.0021488750667078807,0.002769846664834007,0.0026280483215798075,0.006190855508894692,0.003944793700338532,0.00404934770946303,0.005746056186567316
0.004539194674239065,0.005524212632955305,0.004377084681189547,0.007168601572402945,0.001037093209044322,0.0028258713518967285,0.004078113110670326,0.005780319357011193,0.005637964200813836,0.005924304168136533,0.007690420101906493,0.00642440917064971,0.0035892736445526886,0.0008507218578601576,0.004426267053304211,0.004504806117586496,0.003413894167145597,0.0045670689744137,0.00308965286633644,0.005423282433443598,0.00318582541953271,0.001705732148446976,0.00372196434894669,0.002281121657516097,0.005982646398068652,0.005030939870780368,0.005460937096363075,0.005923172160101223,0.005168970780118785,0.0021617915690147808,0.005394213870668496,0.003908760814600937
0.005538267853461058,0.011270859960123326,0.00721719087777973,0.012197087501155396,0.003557656526312174,0.009154599024160222,0.007895609127939553,0.009620720531472069,0.00847772507580537,0.008747438068764544,0.006312730099128665,0.005037929694239872,0.01697657483153691,0.002905825074032196,0.004307004455913535,0.009564385055771094,0.005844960266514862,0.007251250099686737,0.0058372955156822705,0.011810629986805009,0.006062752972206945,0.0047363314711059545,0.007822357513588675,0.006423073814800716,0.013210961314868624,0.00461907736432538,0.004885462635914892,0.004455747706628185,0.011000485623649062,0.006541145413324493,0.006154665772906626,0.008075532288032393
0.002281492873090387,0.0030396948233095593,0.002225622411957063,0.003589159678252622,0.002611102280922156,0.0024914122670723566,0.0030463654045938633,0.0033554971690498594,0.0022741988186840848,0.0021202895806115563,0.0018628048029085847,0.0016248606128460746,0.0035079595302815614,0.0021496692359181356,0.0017840435346835723,0.002988528864150687,0.0017381398396333209,0.0024867571771380985,0.002094237576780809,0.0030353757652759315,0.001791303355371741,0.001131454242212378,0.0023416708131306133,0.0015963016210247382,0.003067764934460796,0.001190625865280854,0.001036193548834278,0.0015969603886874326,0.003029192918429742,0.0021824229852834467,0.002534059300286491,0.002359772085317842
0.0011503053427211485,0.004712016344524964,0.002876315775190312,0.004928375501232813,0.0010317253569014178,0.002205132649366908,0.004774889511962996,0.00521130220970365,0.00347236773344171,0.002025988472353267,0.002415419743558571,0.001193343686856081,0.003110836795253994,0.0007915574822934208,0.0018031454011029184,0.004005597547563925,0.0018556700434048193,0.003576612855128316,0.002528224310525484,0.004554691931272773,0.0025089460227568643,0.0013763577342683678,0.0035917835317565614,0.0013147536335092172,0.0031294792747705055,0.0010266254272313308,0.003454968640230768,0.0014694865948251255,0.0018391155936007028,0.0017972168845802239,0.0011853833837093424,0.0032681169918703443
0.004085564435263438,0.010818589767744018,0.008198219560439222,0.011763701203215479,0.002778502167200288,0.006384049430249225,0.009516888905901674,0.010062543566330386,0.01162133320840344,0.005599706617280875,0.013134057934448214,0.008840536955414483,0.00813881220689103,0.00206396766340514,0.008264685381802668,0.00930167955566628,0.003967446298794023,0.009348244625269371,0.005810836234706508,0.0124678306048518,0.005928104665523374,0.003383098730224321,0.0068141918840378445,0.00501772055994724,0.008674537039197199,0.00494467891769071,0.010990309952234573,0.010328865394997631,0.010133759272117241,0.005763929559706714,0.009606667422188004,0.008076834547282339
0.001292983834093862,0.006665010206575005,0.004572651974572182,0.008080040818312689,0.001190685447907213,0.0031917552367855,0.004464416432445687,0.005369650033967514,0.005718203525452085,0.0027513908193212097,0.005005057047263387,0.002969389877165841,0.004431142148284111,0.0010566115896496042,0.0025752540232823976,0.004861459073303075,0.0025739174418065247,0.003908614051650464,0.0029867277621864804,0.005662841772495019,0.003475282087089988,0.0016368729316152085,0.0037719247243701566,0.0018195635634514473,0.003762273937632498,0.00243556546745124,0.005089246196105099,0.0032326260666187337,0.0031380370739206866,0.0026214244826335826,0.002332931261321697,0.004021572801811495
0.0022065296343032658,0.003741718818523098,0.004115020476174503,0.0043336460801171135,0.001013255319000822,0.0020356043622048333,0.0033375344739380295,0.004826908268197756,0.003430979469716996,0.003269617651826297,0.003828249181442613,0.003116670062197307,0.004407998550122393,0.0015578120782496572,0.0030902937823239526,0.0037177069740432804,0.0022303445501326642,0.0032131999251223506,0.002536288660934195,0.004017485082648325,0.0027309071202237254,0.0009345863816894599,0.0029549208952680604,0.003421479326102744,0.0029272651148871897,0.003359394165456623,0.0027091024965168577,0.004753082527717356,0.0038449908548490327,0.0023323315690614425,0.0038752445268489546,0.0033842060218031655
